totalLogLikelihoodDensity residualTermL1 residualTermH1 noiseNormalizationTermL1 noiseNormalizationTermH1 totalLogPriorDensity H1NoiseLogPriorDensity L1NoiseLogPriorDensity gwLogPriorDensity gwExtrinsicLogPriorDensityTracker gwEllipticalWaveletLogPriorDensity
826294.8449234019 -11255.13994047143 -11210.78504304636 424776.9932917256 423983.7766151941 641.9877822768404 0 0 641.9877822768404 -6.206778379787981 648.1945606566285
826303.0244682475 -11250.65610499467 -11207.08933367748 424776.9932917256 423983.7766151941 640.953248104601 0 0 640.953248104601 -6.206778379787981 647.160026484389
826302.5845826606 -11250.07101160702 -11208.11431265214 424776.9932917256 423983.7766151941 640.3030648170949 0 0 640.3030648170949 -6.206778379787981 646.5098431968829
826304.0725777789 -11250.74607883016 -11205.95125031064 424776.9932917256 423983.7766151941 642.112574489774 0 0 642.112574489774 -6.206778379787981 648.3193528695621
826310.0948057574 -11242.77066023918 -11207.9044409231 424776.9932917256 423983.7766151941 641.2551881175702 0 0 641.2551881175702 -6.206778379787981 647.4619664973583
826312.2383501059 -11241.69897531972 -11206.83258149403 424776.9932917256 423983.7766151941 641.6570154906016 0 0 641.6570154906016 -6.206778379787981 647.8637938703896
826191.2681884707 -11358.19579701028 -11211.30592143858 424776.9932917256 423983.7766151941 654.2410289324188 0 0 654.2410289324188 -6.206778379787981 660.4478073122068
826337.4135203583 -11235.12193630305 -11188.23445025844 424776.9932917256 423983.7766151941 641.1099794362084 0 0 641.1099794362084 -6.206778379787981 647.3167578159964
826343.4255815273 -11228.84481982198 -11188.49950557042 424776.9932917256 423983.7766151941 641.3565616643178 0 0 641.3565616643178 -6.206778379787981 647.5633400441059
826350.8168946903 -11231.71614021167 -11178.23687201781 424776.9932917256 423983.7766151941 641.8463649420798 0 0 641.8463649420798 -6.206778379787981 648.0531433218679
826361.4334462595 -11222.99780807236 -11176.33865258779 424776.9932917256 423983.7766151941 642.3717080229686 0 0 642.3717080229686 -6.206778379787981 648.5784864027567
826358.8961810567 -11223.23046363104 -11178.64326223189 424776.9932917256 423983.7766151941 642.6187784508313 0 0 642.6187784508313 -6.206778379787981 648.8255568306193
826364.7241203154 -11220.95201960377 -11175.09376700049 424776.9932917256 423983.7766151941 642.4136209667017 0 0 642.4136209667017 -6.206778379787981 648.6203993464898
826360.9875495341 -11226.55416205922 -11173.22819532644 424776.9932917256 423983.7766151941 641.4935741013541 0 0 641.4935741013541 -6.206778379787981 647.7003524811421
826363.8362101817 -11226.78962664311 -11170.14407009487 424776.9932917256 423983.7766151941 641.8928877626628 0 0 641.8928877626628 -6.206778379787981 648.0996661424508
826372.5765641953 -11217.92941547274 -11170.26392725152 424776.9932917256 423983.7766151941 642.6866128113452 0 0 642.6866128113452 -6.206778379787981 648.8933911911332
826374.9710377703 -11216.86334572346 -11168.93552342596 424776.9932917256 423983.7766151941 642.7998849397421 0 0 642.7998849397421 -6.206778379787981 649.0066633195302
826376.5115070997 -11215.56992967572 -11168.68847014419 424776.9932917256 423983.7766151941 642.9070441944178 0 0 642.9070441944178 -6.206778379787981 649.1138225742059
826383.0397159624 -11209.99749632337 -11167.73269463394 424776.9932917256 423983.7766151941 642.3663642259017 0 0 642.3663642259017 -6.206778379787981 648.5731426056898
826392.1662467733 -11204.68359171116 -11163.92006843518 424776.9932917256 423983.7766151941 642.5653992750787 0 0 642.5653992750787 -6.206778379787981 648.7721776548667
826400.9278314733 -11198.93559494443 -11160.906480502 424776.9932917256 423983.7766151941 642.4380326992201 0 0 642.4380326992201 -6.206778379787981 648.6448110790082
826401.4193326831 -11201.20488698435 -11158.14568725222 424776.9932917256 423983.7766151941 640.6996303627622 0 0 640.6996303627622 -6.206778379787981 646.9064087425502
826403.8869575956 -11199.81648512702 -11157.06646419709 424776.9932917256 423983.7766151941 640.6878977868223 0 0 640.6878977868223 -6.206778379787981 646.8946761666103
826402.6838188923 -11199.40659198768 -11158.67949603971 424776.9932917256 423983.7766151941 641.4870848589489 0 0 641.4870848589489 -6.206778379787981 647.693863238737
826235.2910109628 -11322.35146572962 -11203.12743022733 424776.9932917256 423983.7766151941 653.6067773521021 0 0 653.6067773521021 -6.206778379787981 659.8135557318901
826403.7444064972 -11198.61077209825 -11158.41472832421 424776.9932917256 423983.7766151941 640.6794556306332 0 0 640.6794556306332 -6.206778379787981 646.8862340104213
826400.2272428802 -11199.55554159834 -11160.9871224412 424776.9932917256 423983.7766151941 640.4350693679861 0 0 640.4350693679861 -6.206778379787981 646.6418477477741
826404.3734682326 -11201.23845153686 -11155.15798715018 424776.9932917256 423983.7766151941 640.479352631585 0 0 640.479352631585 -6.206778379787981 646.686131011373
826410.7727012248 -11193.29524043692 -11156.70196525791 424776.9932917256 423983.7766151941 641.9722366259975 0 0 641.9722366259975 -6.206778379787981 648.1790150057856
826417.5520251752 -11192.11821156936 -11151.09967017506 424776.9932917256 423983.7766151941 642.5855814233213 0 0 642.5855814233213 -6.206778379787981 648.7923598031093
826415.8196492591 -11196.90353279827 -11148.04672486231 424776.9932917256 423983.7766151941 643.1817946817828 0 0 643.1817946817828 -6.206778379787981 649.3885730615708
